year,month,outlet_code,yact,Random_forest_pred,prophet_pred,Arima_pred
2024,4,37007000.0,27.0,20.0,3.0,24.0
2024,4,37008000.0,30.0,32.0,48.0,30.0
2024,4,37009000.0,14.0,12.0,3.0,9.0
2024,4,39001010.0,15.0,6.0,3.0,7.0
2024,4,39001012.0,20.0,11.0,7.0,14.0
2024,4,39001014.0,9.0,5.0,29.0,9.0
2024,4,39001020.0,36.0,25.0,5.0,46.0
2024,4,39002000.0,7.0,5.0,47.0,11.0
2024,4,39002002.0,18.0,8.0,3.0,19.0
2024,4,39002005.0,20.0,13.0,30.0,16.0
2024,4,39002010.0,28.0,22.0,3.0,24.0
2024,4,39008000.0,0.0,0.0,0.0,-6.0
2024,5,10328746.0,42.0,33.0,54.0,40.0
2024,5,10328747.0,16.0,6.0,23.0,9.0
2024,5,10328748.0,50.0,49.0,39.0,60.0
2024,5,10328749.0,23.0,11.0,42.0,13.0
2024,5,10328753.0,31.0,24.0,16.0,32.0
2024,5,10328755.0,48.0,37.0,15.0,57.0
2024,5,10328756.0,39.0,27.0,28.0,37.0
2024,5,10328760.0,20.0,19.0,36.0,17.0
2024,5,31002002.0,26.0,16.0,2.0,20.0
2024,5,31002004.0,27.0,14.0,29.0,28.0
2024,5,31002005.0,9.0,5.0,36.0,10.0
2024,5,31003000.0,16.0,28.0,27.0,8.0
2024,5,31003003.0,26.0,23.0,32.0,31.0
2024,5,31005000.0,20.0,21.0,25.0,16.0
2024,5,31005002.0,15.0,15.0,13.0,7.0
2024,5,31008000.0,55.0,57.0,28.0,51.0
2024,5,31008002.0,0.0,0.0,35.0,3.0
2024,5,31008004.0,51.0,40.0,31.0,55.0
2024,5,31008006.0,0.0,0.0,26.0,5.0
2024,5,31010000.0,44.0,42.0,13.0,44.0
2024,5,31012000.0,24.0,11.0,9.0,32.0
2024,5,31012002.0,0.0,0.0,29.0,-4.0
2024,5,31013000.0,25.0,14.0,26.0,31.0
2024,5,33002000.0,52.0,43.0,21.0,61.0
2024,5,33002004.0,23.0,12.0,26.0,25.0
2024,5,33002008.0,0.0,0.0,2.0,0.0
2024,5,33002009.0,13.0,6.0,55.0,21.0
2024,5,33006002.0,0.0,0.0,42.0,10.0
2024,5,33006003.0,0.0,0.0,2.0,-3.0
2024,5,33007000.0,0.0,0.0,-11.0,4.0
2024,5,33007002.0,0.0,0.0,2.0,8.0
2024,5,33007004.0,72.0,56.0,18.0,72.0
2024,5,33007006.0,31.0,14.0,50.0,25.0
2024,5,35002000.0,26.0,30.0,24.0,36.0
2024,5,35002002.0,0.0,0.0,37.0,-4.0
2024,5,35003000.0,39.0,44.0,44.0,37.0
2024,5,35003001.0,23.0,26.0,37.0,28.0
2024,5,35003003.0,20.0,12.0,31.0,16.0
2024,5,35004000.0,6.0,3.0,27.0,12.0
2024,5,35006000.0,56.0,53.0,23.0,46.0
2024,5,35006002.0,41.0,43.0,11.0,42.0
2024,5,35007000.0,28.0,27.0,30.0,23.0
2024,5,35008000.0,24.0,16.0,35.0,26.0
2024,5,35009000.0,34.0,40.0,23.0,41.0
2024,5,37005000.0,38.0,29.0,48.0,38.0
2024,5,37006000.0,40.0,35.0,64.0,47.0
2024,5,37006001.0,8.0,3.0,23.0,6.0
2024,5,37007000.0,29.0,17.0,2.0,39.0
2024,5,37008000.0,30.0,28.0,18.0,32.0
2024,5,37009000.0,35.0,35.0,2.0,26.0
2024,5,39001010.0,22.0,14.0,42.0,25.0
2024,5,39001012.0,20.0,11.0,27.0,20.0
2024,5,39001014.0,11.0,3.0,21.0,6.0
2024,5,39001020.0,5.0,2.0,16.0,3.0
2024,5,39002000.0,29.0,18.0,48.0,35.0
2024,5,39002002.0,32.0,19.0,-14.0,22.0
2024,5,39002005.0,22.0,15.0,49.0,22.0
2024,5,39002010.0,18.0,12.0,-12.0,27.0
2024,5,39008000.0,0.0,0.0,2.0,-9.0
2024,6,10328746.0,17.0,8.0,36.0,21.0
2024,6,10328747.0,40.0,14.0,21.0,41.0
2024,6,10328748.0,44.0,35.0,26.0,53.0
2024,6,10328749.0,37.0,27.0,38.0,42.0
2024,6,10328753.0,29.0,20.0,13.0,38.0
2024,6,10328755.0,21.0,15.0,32.0,11.0
2024,6,10328756.0,20.0,12.0,30.0,20.0
2024,6,10328760.0,23.0,16.0,41.0,24.0
2024,6,31002002.0,27.0,24.0,4.0,18.0
2024,6,31002004.0,21.0,13.0,29.0,15.0
2024,6,31002005.0,7.0,5.0,30.0,-1.0
2024,6,31003000.0,11.0,9.0,5.0,18.0
2024,6,31003003.0,21.0,17.0,31.0,31.0
2024,6,31005000.0,13.0,6.0,26.0,7.0
2024,6,31005002.0,7.0,3.0,16.0,1.0
2024,6,31008000.0,46.0,72.0,32.0,39.0
2024,6,31008002.0,2.0,0.0,27.0,-4.0
2024,6,31008004.0,46.0,45.0,26.0,36.0
2024,6,31008006.0,2.0,0.0,25.0,12.0
2024,6,31010000.0,34.0,29.0,18.0,40.0
2024,6,31012000.0,12.0,5.0,11.0,13.0
2024,6,31012002.0,0.0,0.0,53.0,-2.0
2024,6,31013000.0,9.0,3.0,31.0,8.0
2024,6,33002000.0,38.0,17.0,16.0,41.0
2024,6,33002004.0,28.0,18.0,22.0,28.0
2024,6,33002008.0,0.0,0.0,4.0,-2.0
2024,6,33002009.0,0.0,0.0,1.0,-3.0
2024,6,33006002.0,0.0,0.0,31.0,7.0
2024,6,33006003.0,0.0,0.0,3.0,7.0
2024,6,33007000.0,42.0,40.0,14.0,43.0
2024,6,33007002.0,3.0,0.0,3.0,-5.0
2024,6,33007004.0,2.0,2.0,38.0,-2.0
2024,6,33007006.0,37.0,25.0,30.0,29.0
2024,6,35002000.0,20.0,15.0,48.0,25.0
2024,6,35002002.0,0.0,0.0,48.0,6.0
2024,6,35003000.0,34.0,38.0,33.0,42.0
2024,6,35003001.0,23.0,22.0,27.0,30.0
2024,6,35003003.0,4.0,2.0,29.0,-1.0
2024,6,35004000.0,6.0,2.0,30.0,0.0
2024,6,35006000.0,34.0,33.0,33.0,24.0
2024,6,35006002.0,32.0,38.0,23.0,33.0
2024,6,35007000.0,10.0,14.0,10.0,11.0
2024,6,35008000.0,24.0,12.0,16.0,22.0
2024,6,35009000.0,17.0,15.0,32.0,11.0
2024,6,37005000.0,37.0,26.0,16.0,36.0
2024,6,37006000.0,29.0,30.0,23.0,30.0
2024,6,37006001.0,9.0,5.0,55.0,15.0
2024,6,37007000.0,34.0,22.0,3.0,30.0
2024,6,37008000.0,17.0,17.0,3.0,20.0
2024,6,37009000.0,21.0,23.0,4.0,18.0
2024,6,39001010.0,24.0,15.0,34.0,32.0
2024,6,39001012.0,22.0,14.0,13.0,22.0
2024,6,39001014.0,9.0,5.0,24.0,12.0
2024,6,39001020.0,7.0,5.0,13.0,-3.0
2024,6,39002000.0,60.0,54.0,46.0,67.0
2024,6,39002002.0,26.0,23.0,1.0,20.0
2024,6,39002005.0,13.0,6.0,52.0,4.0
2024,6,39002010.0,21.0,14.0,1.0,17.0
2024,6,39008000.0,4.0,2.0,-5.0,-6.0
2024,7,10328746.0,48.0,48.0,1.0,57.0
2024,7,10328747.0,26.0,23.0,29.0,27.0
2024,7,10328748.0,42.0,37.0,50.0,45.0
2024,7,10328749.0,37.0,22.0,56.0,38.0
2024,7,10328753.0,30.0,19.0,38.0,35.0
